Title,Publisher,Published,Downloads,Pages,Category
Resisting the Biker,Cassie Alexandra,22-Jul,730,326,Romance
Love's Bitterest,Emma Dorothy Eliza Nevitte Southworth,22-Jun,188,385,Romance
All for Love: or Her Heart's Sacrifice,Mrs. Alex. McVeigh Miller,22-May,625,280,Romance
The Story of a Lover,Hutchins Hapgood,22-May,535,112,Romance
Martin Valliant,Warwick Deeping,22-Mar,94,349,Romance
The Wonderful Adventures of Phra the Phoenician,Edwin Lester Arnold,22-Mar,271,538,Romance
Cold Sweetheart,Ria F,22-Feb,1751,81,Romance
John:  A Love Story - Volume 2,Mrs. Oliphant,22-Feb,204,200,Romance
John:  A Love Story - Volume 1,Mrs. Oliphant,22-Feb,250,196,Romance
Samantha's Proposal,Ruth Daniel,22-Jan,488,163,Romance
Lady William,Mrs. Oliphant,21-Dec,218,597,Romance
Whenever You Want,Stephanie Van Orman,21-Dec,1513,125,Romance
WORN,Bridget Ratidzo,21-Dec,213,192,Romance
The Cuckoo in the Nest:  Volume 2,Mrs. Oliphant,21-Dec,67,254,Romance
The Cuckoo in the Nest:  Volume 1,Mrs. Oliphant,21-Dec,89,257,Romance
Rejoice as the Sun Shines on Restorations,Linda L. Linn,21-Nov,318,282,Romance
For the Love of Ereadura,Boygene Borice,21-Oct,438,43,Romance
WORN,Bridget Ratidzo,21-Oct,300,102,Romance
After Break Up,Master Resell Right（MRR）,21-Oct,367,21,Romance
Getting Your Guy,Susan Stanislas,21-Oct,158,50,Romance
Dead Roses,Boygene Borice,21-Oct,313,39,Romance
Waiting for Me,Graeme A Watson,21-Sep,411,41,Romance
The Interloper,Violet Jacob,21-Aug,261,364,Romance
Sleeping Love,Austin Mitchell,21-Aug,571,31,Romance
Beyond,Santosh Jha,21-Aug,146,48,Romance
CLAIRE,Grace Gervas,21-Aug,2879,328,Romance
Rose Red,Stephanie Van Orman,21-Jul,590,151,Romance
Love Song of the Prairie,Kelvin Bueckert,21-May,257,92,Romance
Quest & Crown,Marie Seltenrych,21-May,460,278,Romance
"THE LOVE ECLIPSE: LOVE IS NOT A FEELING, IT IS A CHOICE",Ezekiel Millinga,21-Apr,3733,328,Romance
My Ola,Boygene Borice,21-Apr,516,41,Romance
My Bodyguard,Grace Gervas,21-Mar,4567,137,Romance
Always and Forever,S Lucy,21-Mar,1436,63,Romance
Lovers Underwater,Chrys Romeo,21-Feb,599,80,Romance
The Coldest Summer,Grace Gervas,21-Jan,2469,425,Romance
Perfect First Date,mike,21-Jan,451,21,Romance
The protector,Renata W. Müller,21-Jan,1128,141,Romance
Chasing the Omega (Small Town #1),Jessica Edwards,20-Dec,978,252,Romance
Behind Closed Doors,Kingsley Adrian Banks,20-Dec,340,87,Romance
Cursed,Peter Gray,20-Oct,1234,166,Romance
Yes,Santosh Jha,20-Aug,1415,47,Romance
End of the Age: FinalDeception,Angela K,20-Jun,1318,194,Romance
One Precious Moment,Ritu Kakar,20-Jun,1470,144,Romance
Love Unexpected,Ritu Kakar,20-Jun,4973,200,Romance
Silent Light,John Naa,20-Jun,872,81,Romance
The Love Eclipse: Darkness In The Light,Ezekiel Millinga,20-May,4703,141,Romance
Lovers Undercover,Chrys Romeo,20-May,1803,64,Romance
I Do,Boygene Borice,20-May,906,46,Romance
Breaking Free,Izzy Hutchinson,20-May,1907,156,Romance
Enchantress,Santosh Jha,20-Apr,1438,50,Romance
Sweet Desire Part 1 (Within Your Embrace series book 1),Tanita Rose,20-Apr,2234,109,Romance
Sweet Desire Part 2 (Within Your Embrace series book 1),Tanita Rose,20-Apr,1109,111,Romance
Sweet Desire Part 1 and 2 (Within Your Embrace series book 1),Tanita Rose,20-Apr,1734,177,Romance
Da Vinci in Love,Maysam Yabandeh,20-Mar,967,32,Romance
You Saved Me Once,Amelia E. S.,20-Feb,5097,149,Romance
"Everywhere There's a Sunrise, Let's Tell the Good News",Linda L. Linn,20-Jan,1543,298,Romance
Kiss of Tragedy,Stephanie Van Orman,19-Nov,1610,260,Romance
Rumors of Christmas,Kelvin Bueckert,19-Nov,1223,48,Romance
Hate Games - Book 1 in the Reckless Enemies Series,Marilyn Cruise,19-Oct,3746,304,Romance
The Last Letter,Boygene Borice,19-Sep,1752,51,Romance
The Music Box,Joana A Park,19-Sep,932,135,Romance
The Life Vision,Robert Garcia,19-Aug,381,230,Romance
Fairy-Struck,Amy Sumida,19-Jul,3814,503,Romance
Deathless,Scott Prussing,19-Jun,1569,50,Romance
The Broken Vows,Jane Kiarie,19-Jun,3862,50,Romance
The Nevers He Broke That Year,Sarah McKellen,19-Apr,1903,50,Romance
Unscripted: Episode One,N.J. Adel,19-Mar,841,32,Romance
Healing Desire,Janet A. Wilson,19-Feb,2231,55,Romance
Diane's Fantasy,Emerald Lordsfame,19-Jan,2291,163,Romance
Drawn to You,Serena Grey,19-Jan,10602,187,Romance
Just Kiss Me One Last Time,Brian Hesse,18-Dec,1632,70,Romance
The Viking,Marti Talbott,18-Dec,1311,154,Romance
100 Dates and a Wedding,Steph F. Tumba,18-Nov,1947,481,Romance
The Other Side of Love,Magali Ortiz,18-Oct,1752,172,Romance
Went to Woo a Porn Star,Ina Disguise,18-Sep,1236,23,Romance
Who Waits For Love?,Kelsey Park,18-Sep,1698,107,Romance
Shall We Dance,Joana A Park,18-Sep,617,96,Romance
The Young Marvel,Uncle Jasper,18-Aug,1022,284,Romance
Everybody Has To Die Anyway,Leigh Barbour,18-Aug,1298,197,Romance
The Secret of The Cherry Blossoms,Joana A Park,18-Aug,793,214,Romance
The Surprise,I May End Soon,18-Aug,519,46,Romance
A Redhead at the Pushkin,John Francis Kinsella,18-Jul,706,354,Romance
The Homeworker,Graeme Watson,18-Jul,972,39,Romance
Heaven Sent,Joana A Park,18-May,2140,146,Romance
The Ugly Duckling: No One Wants Me,Hlengiwe Mathebula,18-May,2996,34,Romance
Magic After Midnight: The Original Short Story,C. Gockel,18-May,1266,37,Romance
Unfollowing My Ex,Laro Claitty,18-Apr,1551,71,Romance
Bridge Burned: Bridge of the Gods Book 1,Elliana Thered,18-Apr,1491,143,Romance
Pink Ribbons,Joana A Park,18-Apr,990,145,Romance
Dark & Cold,Ciara Attong,18-Apr,3159,363,Romance
Untamed Butterflies,Rachel erika Henderson,18-Mar,1731,112,Romance
Till It Happens To You,Dada Modupeola,18-Feb,2061,149,Romance
Love Hurts,Jonathon Waterman,18-Feb,2892,112,Romance
Lorraine's Diary,Scott Zarcinas,18-Jan,1012,87,Romance
A Life After Love,Mohamed Zaki,17-Dec,1243,282,Romance
A Little Bit of Heaven,Karen Lynne,17-Dec,1430,116,Romance
It was Love - Part 1,Deeksha Raina,17-Oct,2455,25,Romance
"Sonya, A Woman's Struggle",Charles Coar Jr.,17-Oct,1186,200,Romance
Radar Love,Aileen Friedman,17-Sep,1066,235,Romance
Fearless Flying,Karen Gordon,17-Jul,6331,101,Romance
Hope(less),Melissa Haag,17-Jul,4094,181,Romance
Raging Storm,Shelia Chapman,17-Jun,8941,497,Romance
The Kiss That Saved Her,E.M. McCarthy,17-Jun,3751,257,Romance
Second Chances: Love in Juniper Ridge (Carver Ranch Book 1),Heather Tullis,17-May,3372,152,Romance
A Planet for Emily,M S Lawson,17-May,4403,140,Romance
Five Golden Rings and a Diamond,Marie Seltenrych,17-May,1316,734,Romance
My Secret,Carolina Lopez,17-Apr,2971,252,Romance
Inseparable 1,Renata W. Müller,17-Apr,2556,160,Romance
7 Years Later Book 1: Just GONE,Renata W. Müller,17-Apr,3356,152,Romance
Kisses with Dreams in Them A Love Song for Bethany Part 2,Stephen K Bess,17-Apr,907,298,Romance
Lagos Through His Eyes,Nick Nwaogu,17-Mar,1318,21,Romance
The Spark In My Quiet World,Oluwasegun Femi Fragile,17-Feb,587,22,Romance
Lipstick Trace,Chad McClendon,17-Feb,582,241,Romance
The Almost Kiss,Nick Nwaogu,17-Feb,657,21,Romance
The Assignment,Charles Coar Jr.,17-Jan,1423,136,Romance
Frost on my Pillow,Leah Hamrick,16-Dec,1135,396,Romance
New Beginnings,Mark Woolridge,16-Dec,1150,23,Romance
Darkness Risen-The Torcher,Richard Shekari,16-Dec,915,93,Romance
King of Hills,Devlin Price,16-Nov,2643,313,Romance
Midnight Noire,Devlin Price,16-Nov,1194,139,Romance
Princess Cynisca - Lassie and the Centaur Part 2,Jyotsna Lal,16-Nov,156,52,Romance
The Dance of the Pink Dragon,Jyotsna Lal,16-Nov,227,34,Romance
Whistlin' Dixie,Maggie Adams,16-Nov,1805,116,Romance
Santos MC (Angel and Tabios) Book 1,Cindy Diaz,16-Oct,1241,133,Romance
Guaranteed:  How To Get Women,Michele B.,16-Sep,696,54,Romance
Eyes on the Unseen Prize,S.J. Thomason,16-Jul,1502,127,Romance
Perils of Candy Cuthway,Richard Shekari,16-Jul,963,71,Romance
Timeless Love,"Ismail ""Ish"" Rashad",16-Jul,4505,247,Romance
Milady Disdain,Marianne Malthouse,16-Jun,1316,160,Romance
Lost Romance Found,Vanessa Winters,16-May,846,20,Romance
To Live Again,Gary Whitmore,16-May,1932,234,Romance
Guildford Rock,Phil Mitchell,16-Apr,898,52,Romance
Jane - Prologue,Katie Whistler,16-Apr,520,25,Romance
"Undone, Volume 1",Callie Harper,16-Apr,1638,67,Romance
Story of a Secret Heart,Cassi Ellen,16-Apr,5910,127,Romance
The Wedded Whore,Ugochukwu Kingsley Ani,16-Mar,1938,182,Romance
Finding Beautiful,Amanda Kaitlyn,16-Mar,7575,181,Romance
Julie & Kishore: Take Two,Carol Jackson,16-Mar,680,134,Romance
Julie & Kishore,Carol Jackson,16-Mar,1112,207,Romance
Fighting For Love (Fighting Series Book 2),Cindy Diaz,16-Mar,5207,247,Romance
Fidel,Rigby Taylor,16-Feb,245,207,Romance
The Prodigal Heart,Karen Cogan,16-Feb,2528,140,Romance
Burn's World: A Love Triangle,Eve Rabi,16-Feb,1264,179,Romance
Girl of My Dreams,Gary Whitmore,16-Feb,2173,236,Romance
Only Time,Gary Whitmore,16-Feb,1327,334,Romance
You Didn’t Care,Santosh Jha,16-Jan,1768,45,Romance
Henrietta:  Book #1 in the House of Donato Series,Patricia M. Jackson,16-Jan,807,143,Romance
Rusty,G. A. Watson,15-Nov,2667,155,Romance
Fallen Ambitions,Guy Stanton III,15-Oct,2914,391,Romance
The Little Merman,Victor Kim,15-Oct,931,357,Romance
The First Trilogy (in Original Filipino Text),Issa Bacsa,15-Oct,218,212,Romance
Fighting For Freedom (Fighting Series book 1),Cindy Diaz,15-Sep,7037,675,Romance
First Love,Chrys Romeo,15-Aug,2201,59,Romance
Dreamscape,Heidi Hallifax,15-Aug,3520,250,Romance
Cordra,J Bennington,15-Aug,1175,60,Romance
Mr Perfect - You Gave Everything to Me,B Jaan,15-Aug,1282,46,Romance
Die Jagter van Olifantskloof,Brenda Botha,15-Aug,616,68,Romance
Sensual Mind,Quinn M. Kelley,15-Aug,785,57,Romance
Divine Obstacle,Gamcha King,15-Jul,3850,277,Romance
To Get Me To You,Kait Nolan,15-Jul,9318,205,Romance
Mind's Eye,Quinn M.Kelley,15-Jul,553,65,Romance
It's All About Loving a Soldier,Neelam Birthare,15-Jul,1063,67,Romance
Hopeless Love,Jonathon Waterman,15-Jul,2456,305,Romance
BirthRight,Sydney Addae,15-Jul,2829,94,Romance
Three Marriages,George Loukas,15-Jul,1049,178,Romance
Arabella and the Forbidden Prince,April Marcom,15-Jul,2463,65,Romance
Serenity,Quinn M.Kelley,15-Jul,588,87,Romance
Nina & Alec,Quinn M. Kelley,15-Jun,389,80,Romance
Oksana,Quinn M. Kelley,15-Jun,529,75,Romance
Aura of Passion,Quinn M. Kelley,15-Jun,1993,119,Romance
Tatiana,Quinn M. Kelley,15-Jun,536,56,Romance
Brittany & Pierre,Quinn M. Kelley,15-Jun,974,76,Romance
Audrey,Quinn M. Kelley,15-Jun,744,107,Romance
The Jade Bear,J. Bennington,15-Jun,1938,71,Romance
Wayward Paths and Golden Handcuffs,S.J. Thomason,15-Jun,925,160,Romance
The Paranormal 13,"Christine Pope, K.A. Poe, Lola St. Vil, Cate Dean,",15-Apr,3996,5614,Romance
"After Midnight, A Novel",Diane Shute,15-Apr,6924,396,Romance
Once Upon a Coffee,Kait Nolan,15-Feb,5325,24,Romance
A Perfect Fit,Heather Tullis,15-Feb,9383,160,Romance
Just the Way You Are,Cinomi,15-Feb,4531,103,Romance
Wraithsong,Evelyn,15-Jan,5088,359,Romance
Darkangel,Christine Pope,15-Jan,8385,357,Romance
"Anything for You, Ma'am",Tushar Raheja,14-Dec,3278,180,Romance
Hypothesis: The Hekapolis Trilogy,Anna Bastow,14-Dec,2061,280,Romance
Eleven Days: An Unexpected Love,Lora Lindy,14-Nov,7626,162,Romance
Probability,Santosh Jha,14-Nov,1371,51,Romance
Knowing Yourself - A Medieval Romance,bills@lisashea.com,14-Nov,2041,235,Romance
Benign Flame: Saga of Love,BS Murthy,14-Nov,544,222,Romance
"My Never (My Never, #1)",Renee Swann,14-Oct,2639,71,Romance
The Profiler (Book One in the Munro Family Series),Chris Taylor,14-Oct,2268,174,Romance
The Builders Report,Suzy Stewart Dubot,14-Oct,837,29,Romance
Reverb,J. Cafeisn,14-Sep,1253,56,Romance
Pure Illusion (Web of Deception #1),Michelle Watson,14-Sep,2816,442,Romance
Scandalous,Drew Sinclair,14-Sep,10926,153,Romance
"Invisible Prison, Book 1 of the Invisible Recruits series",Mary Buckham,14-Aug,1544,103,Romance
The Thorn in His Side,Kim,14-Aug,5136,188,Romance
Teased,Drew Sinclair,14-Aug,7287,127,Romance
Dreams Ltd,Veronica Melan,14-Jul,2725,200,Romance
Back To Bliss: A Journey To Zero,Santosh Jha,14-Jul,587,188,Romance
Onlyness,Santosh Jha,14-Jul,914,95,Romance
Second is Best,Aileen Friedman,14-Jul,2922,190,Romance
In Love with the Boss,Marie Haddon,14-Jun,10368,203,Romance
Angel Wars: Light vs. Dark,Ana B. Nilanjana,14-May,2073,97,Romance
Love Letters from a Teen Heartthrob,Q.T. Valentine,14-Apr,2266,194,Romance
Agent Finds a Warrior,Guy Stanton III,14-Apr,3828,395,Romance
Agent on the Run,Guy Stanton III,14-Mar,3480,402,Romance
Trouble,Emily Sommers,14-Feb,3572,132,Romance
Stages | Episode One,Katie Paul,14-Feb,756,95,Romance
The Best Romance Ever,Ina Disguise,14-Feb,3288,45,Romance
Agent in the Dark,Guy Stanton III,14-Feb,2708,457,Romance
Agent out of Time,Guy Stanton III,14-Feb,2199,473,Romance
Agent for a Cause,Guy Stanton III,14-Feb,2844,450,Romance
Devil's Secret - Universal Secret (Book 1),Deepz Ca'aul,14-Feb,1081,79,Romance
Drowning Mermaids,Nadia Scrieva,14-Feb,4619,218,Romance
Wedding Favors & Gifts,Dennis Hardy,14-Jan,988,68,Romance
Godhunter,Amy Sumida,14-Jan,1882,514,Romance
"Agent with a History, #1",Guy Stanton III,13-Nov,5775,487,Romance
My Despicable Ex - Book 1,Sierra Rose,13-Nov,5640,96,Romance
I Know at U.. Who Knew a Me,Amit Jha,13-Oct,2021,48,Romance
CowBoi,Gustavo Homsi,13-Sep,857,94,Romance
My Fair Princess,Nona M. King,13-Sep,7225,108,Romance
Babylon - Quest for Love,Leon Meyer and Herman Beukes,13-Jul,1444,158,Romance
Searching for Sara,Nona M. King,13-Jul,20713,301,Romance
Breathless,Scott Prussing,13-May,29516,145,Romance
Heroes and Hearts,Noemi Betancourt,13-May,4527,83,Romance
Poems from Korea - Land of the Morning Calm,Courtney Webb,13-Apr,1237,50,Romance
A Love Song for Bethany,Stephen K. Bess,13-Apr,13009,555,Romance
Garland Roses,Kathryn Reynolds,13-Apr,17695,281,Romance
The Afterlife Journals: The Blue Ribbon,Kayley Ireland,13-Apr,3902,65,Romance
A UFO Love Story,Erik Neilsen,13-Mar,6839,430,Romance
Eternal Vows,Chrissy Peebles,13-Feb,19174,112,Romance
Fallen Tears,Sarah J. Pepper,13-Feb,4602,203,Romance
Immigrant Song,Jon Schafer,13-Jan,1400,123,Romance
A Witch for the Burning,J.K. Tallis,12-Dec,10707,118,Romance
Changes from a Sunset,Aileen Friedman-Naude,12-Sep,4519,202,Romance
Courtship of the Recluse,Linda Louise Rigsbee,12-Sep,21793,68,Romance
Searching for Lydia,B.H. Arias,12-Sep,1760,49,Romance
End of the Age: Final Deception,Angela Kay,12-Aug,7685,180,Romance
Stop Being a one Date Wonder Darn it,Elnaz B.,12-Aug,450,50,Romance
The Great American Novel,Tiago Bonacho,12-Jul,427,50,Romance
One Christmas Morn,Fabian Bell,12-Jun,1451,40,Romance
World of Ryyah: Birth of the Half Elves,H. L. Watson,12-May,26718,170,Romance
The Dragonfly,Raymond Hopkins,12-Mar,6629,190,Romance
Dreams of Love and Intrigue,Greta Ann Hughes,12-Mar,6513,285,Romance
Sixpence,Raymond Hopkins,12-Mar,4316,157,Romance
Love Comes Knocking,Kathy,12-Mar,12036,60,Romance
Peri Cokelat,Tarie Kertodikromo,12-Mar,1203,114,Romance
David,Raymond Hopkins,12-Feb,9736,158,Romance
"Once Bitten, Twice Shy",Linda Louise Rigsbee,12-Jan,18399,95,Romance
The Secret to a Soul Satisfying Relationship,Darrell L. Wilson,12-Jan,4143,35,Romance
10 Sure Shot Ways to Get Your Ex Back for Good,Jez Rourke-Pilott,12-Jan,22659,28,Romance
Date with Purpose,Tracy Montgomery,12-Jan,5655,199,Romance
How to Get Your Ex Lover Back,Hazli Khalim,11-Dec,3989,41,Romance
Orpheus Looks Back,George Loukas,11-Dec,5098,184,Romance
Chin Up Girl,Joseph Dillard,11-Dec,9696,62,Romance
Monica: A Tragic Romance,Jocko,11-Jul,18379,86,Romance
Love and Lust: American Men in Costa Rica,Jacobo Schifter,11-Jun,20780,147,Romance
How to Meet the Woman of Your Dreams Overseas - When You've Given Up on The Girls Next Door,Mark Edward Davis,11-May,3553,164,Romance
The Sun Sharer - Free No.1 UK Chart Best Seller,David Edwards,11-Mar,10295,130,Romance
Impulse Control,Susan Bischoff,11-Mar,10456,33,Romance
Online Dating Bliss in 5 Simple Steps for Newbies,Gabriela Luca,11-Feb,3383,48,Romance
Penetrate the Soul with a Kiss,Tracy Montgomery,11-Feb,13832,65,Romance
Beginning at the End,Nicole Duffeck,11-Jan,86606,78,Romance
Magnetic Attraction - How to Get the One You Really Want,Tracy Montgomery,11-Jan,17524,57,Romance
Dancing Bare,Rigby Taylor,11-Jan,16680,223,Romance
How to Get My Ex Back,Robert  Hirsch,10-Dec,2431,19,Romance
A Start-up Guide to Dating Mastery,Neil Ward,10-Dec,29398,58,Romance
6 Lady Killer Dating Strategies to Being an Alpha Asian Male,J.T. Tran,10-Dec,21726,28,Romance
A Memory Unchained,Gloria Graham,10-Dec,122770,177,Romance
Lucid Dream I,Swati Singla,10-Dec,56128,130,Romance
How to Flirt With Someone You Love,Randy Ross,10-Nov,52992,27,Romance
Bregdan Chronicles - Storm Clouds Rolling In,Ginny Dye,10-Sep,38675,505,Romance
The Art of War for Dating,Spencer Michaels,10-Aug,14592,30,Romance
The Mill on the Floss,George Eliot,10-Aug,16541,378,Romance
How to Date the Hottest Women Online and Offline!,Wingsofsuccess,10-Aug,18266,97,Romance
Love's Break-Up,Katie Wang,10-Aug,16624,28,Romance
Body Language and Attraction,Joanne Fallwater,10-Aug,93095,22,Romance
The Ultimate Guide to Picking up Women on Facebook,Justin Hartfield,10-Aug,8800,23,Romance
Gerry’s Online Dating Guide for the Lonely,Gerry,10-Aug,8526,19,Romance
Newlyweds' Guide to a Happy Marriage: How to Keep That Honeymoon Feeling,Tim Spooner,10-Aug,8130,50,Romance
DateBOB Dating Advice and Tips,Garry Hawkes,10-Aug,6385,14,Romance
How to Become a Man Magnet Today,Alex Fox,10-Aug,22876,15,Romance
Day Game Dating (The Five Vital Principals),Colin,10-Aug,10722,50,Romance
How to Attract a Partner,Roger Millar,10-Aug,19025,21,Romance
Love Stone: A Tetralogy of Love,Metha Metharom,10-Aug,42223,165,Romance
The How and Why Guide to Online Dating,Nizze Egg,10-Aug,3817,11,Romance
The Path of Dreams,Eugene Woodbury,10-Aug,33687,290,Romance
Online Dating for Women 2007/2008,Tracey,10-Aug,4430,15,Romance
How to Keep Extremely Beautiful Women Interested in You,Carl Sargent,10-Aug,10210,50,Romance
Read-Your-Own Romance - the Big Day Off!,Adam Deverell,10-Aug,12262,66,Romance
The Albatross and the Mermaid,Amanda Fox,10-May,17119,107,Romance
A Compilation of Thoughts on Relationships,The Things We Talk About,10-Feb,20051,50,Romance
Magical Moonlight,Elsa Rose,10-Jan,35320,532,Romance
Do You Remember Your Newlywed Feeling? Do You Long for It Again?,Gerard Willis,9-Dec,10147,52,Romance
9 Priceless Ways for You to Discover the Untold Secrets of Attracting Beautiful Women,Ian David,9-Dec,41329,17,Romance
Making Your Long Distance Relationship Work,Michelle and Frank,9-Nov,11561,12,Romance
Finding the Love You Want,Stefan Gonick,9-Aug,20444,17,Romance
Kurt's Pretty Lady,Cliff Ashbridge,9-Aug,47901,281,Romance
The Secret to Meeting Tons of Women Online,Jason Richards,9-Jul,4496,27,Romance
Detoxification and Weight Loss,Angelia Griffith,25-Sep,33,22,Health
Dealing With Stress Naturally,Angelia Griffith,25-Sep,55,40,Health
Unlocking Intimacy: A Comprehensive Guide to Sex  and Couples Therapy,Dr. Kate Balestrieri,25-Jun,80,110,Health
Down With Acid lite,Chris Robinson,25-Feb,62,46,Health
100 Pounds Ago...I Started Learning How to Love Myself More Than the Pleasure of Food,Charles A. Postma,24-Nov,43,37,Health
Hunger Hacks,Donald Lewis,24-Nov,77,66,Health
THE ULTIMATE GUIDE TO KICKING SUGAR,Flora Zhao,24-Sep,174,46,Health
Black Birds Hold Secrets,Blake Steidler,24-May,41,66,Health
Power and Abilities,Richard Clark,24-May,67,54,Health
Be In Good Health,Cee Cee H. Caldwell,24-Mar,180,135,Health
Natural Remedies for Eczema: Holistic Solutions for Healthy Skin,Mohd Arif,24-Mar,66,36,Health
Finding Serenity: A Parent’s Guide To Stress Relief Through  Mindful Meditation,Raymond Walkoczy,24-Mar,49,53,Health
How Your Thyroid Works: A Beginner's Guide to Understanding this Amazing Gland,koneru Hanmantharao,24-Mar,58,34,Health
Proven Methods to Relieve Tension and Stress,Angelia Griffith,24-Jan,144,40,Health
Slaying Depression,Angelia Griffith,23-Oct,210,28,Health
10 Best Ways to Achieve Fast and Sustainable Weight Loss,Petr H. Xie,23-Sep,186,21,Health
The Ministry of Healing,Ellen H-White,23-Sep,142,325,Health
"10 Nutritional Tips: Top Nutritional Tips For A Stronger, Healthier and Happier You",Angelia Griffith,23-Sep,194,33,Health
How to Eliminate Stress & Anxiety from Your Life,MANAS SINHA,23-Aug,224,60,Health
The Depression Learning Path: Get The Whole Picture and Beat Depression For Good,Roger Elliott and Mark Tyrrell,23-Aug,137,94,Health
Light Healing - A Guide to Self-Healing and Empowerment.,Steve Watson,23-Aug,287,72,Health
"Soul Systematic - Simple Program to help with feelings of Anxiety, Panic Attacks, Depression, and General Stress.",Steve Watson,23-Aug,101,73,Health
Whispers of  the Night: Illuminating  the Enigmatic  World of Dreams,Shalna Omaye,23-Jun,94,49,Health
Miracles in Water: Healing Journeys with Kaqun,Dr. Robert Lyons,23-Jun,313,60,Health
How the Modern 'Hustle' Diet is Slowly Killing Us and the 6 Things You Need to Do About It NOW!,Dion Fleay,23-Apr,135,36,Health
The Benefits of a Morning Ritual Routine,K.White,23-Mar,54,21,Health
Healthy Life with Keto Diet,Debasish Ganguly,23-Mar,276,220,Health
A Healthier You Sample,Spencer Coffman,23-Mar,84,21,Health
Stress-Free Living A Guide to Mindfulness and Stress Management Techniques,tupolev,23-Feb,448,21,Health
The Keto Blueprint,Ginevra DiMartino,23-Jan,302,49,Health
Best Substitutes For Meat,Akshay Rokade,22-Nov,134,36,Health
Yoga Quickstart,Don Bentley,22-Oct,91,50,Health
Eliminate Stress And Anxiety,Dan Charles,22-Sep,263,64,Health
Ketogenic Diet_ Rapid Weight Loss Diet Plan,Erick Hunter,22-Sep,230,29,Health
PROBIOTICS COMPLETE MASTER GUIDE WITH FOOD RECIPE,MUTHUPANDI,22-Sep,163,156,Health
Hair Loss Prevention,Archi Mackfly,22-Jul,303,51,Health
100 Recipes to stay FIT,smita,22-Jun,304,103,Health
Wonderful Strength Of Fruits And Vegetables,N/A,22-May,398,41,Health
Understanding Diabetes and Glycemic Index,Glycemic Index,22-Apr,199,69,Health
Food for a Healthy Life,Blueprint,22-Apr,192,27,Health
"30 Delicious Detox, Cleanse, and Green Smoothie Recipes for Weight Loss-Diet book",Pete Martial,22-Apr,288,39,Health
"Extreme Health Resolution Secrets, Weight loss secrets",Summiya,22-Mar,160,26,Health
Ketogenic Diet 101,jennyedams,22-Feb,172,94,Health
Detox Diet Basics,jennyedams,22-Feb,110,24,Health
The Complete Keto Diet Cookbook,Mandy Cook,22-Jan,346,168,Health
Super Serenity Sleepers,Peter George,22-Jan,129,35,Health
How To Win Your War Against Back Pain,wing of success,22-Jan,226,126,Health
The Obesity Code: Unlocking the Secrets of Weight Loss: Unlocking the Secrets of Weight Loss (Why Intermittent Fasting I,Dr. Jason Fung,22-Jan,516,335,Health
The Complete Ketogenic Diet for beginners. Your Essential Guide to Living,"Amy Ramos, Rockridge Press",22-Jan,335,238,Health
7-day Vegan Meal Plan,Rajat Kishor,22-Jan,113,43,Health
Successful Weight Loss,jef da cruz,21-Dec,152,40,Health
Superior Brain Health,Archi Mackfly,21-Dec,1861,71,Health
The Keto Reset Diet,Aliza Schoens,21-Nov,160,229,Health
Nutritious Appetite,Bail,21-Oct,84,26,Health
15 Ultimate Diet Tips,Keith Smith,21-Oct,96,22,Health
Natural Remedies for Eczema,Natural Remedies,21-Oct,102,36,Health
Dealing With Impotence Naturally,Archi Mackfly,21-Sep,267,36,Health
BERRY BOOSTER,LUCAS VILLE,21-Sep,62,50,Health
Healthy Habits,Lucas Kalindi,21-Sep,255,72,Health
Arthritis Pain Remedies,Archi Mackfly,21-Sep,230,32,Health
Heart Health Secrets,unisdess,21-Sep,240,68,Health
How to Sleep Like a Baby Even if You Have Sleep Deprivation,Ben Wiseman,21-Aug,265,88,Health
The Growing Diabetes Epidemic - Controlling Diabetes With The Best Foods,Angelia Griffith,21-Aug,364,25,Health
The BioFit Diet : 7 Day Fat Flush,Mostafa HADANI,21-Jul,312,30,Health
Diet & Weightless - The Honest Truth,Meredith Franklin,21-Jul,114,107,Health
Hearing Aids Inside Out,Archi Mackfly,21-Jul,51,112,Health
Fat Burning Secrets,hackim,21-Jul,249,21,Health
Get Pregnant Cure Infertility Naturally,Seynezer,21-Jul,98,30,Health
Wonderful Weight,Renrod,21-Jul,38,38,Health
Evidence Based Health Tips,Archi Mackfly,21-Jul,204,29,Health
"Nudge: Improving Decisions About Health, Wealth and  Happiness",Richard H. Thalor,21-Jul,216,304,Health
Overall Health,A. Louis Blackwell,21-Jul,120,32,Health
Eating Healthy,A. Louis Blackwell,21-Jul,82,56,Health
CARB CYCLING (Healthy Eating Weightloss guide),Shelby Starnes,21-Jul,106,51,Health
Diabetes Sustenance,Archi Mackfly,21-Jul,91,25,Health
Herbal Healing For Everybody,Paul Herb,21-Jul,456,40,Health
No More Sleeplessness - Your Guide to Enjoy Quality Sleep,Angelia Griffith,21-Jun,326,45,Health
Special Lustgarten Foundation Edition - Surviving Cancer and Embracing Life: My Personal Journey,Joel R. Evans,21-May,207,111,Health
Hack Your Sleep- A Beginner's Guide to Enjoying Quality Sleep,MRR,21-May,577,45,Health
How To Be Healthy During A Pandemic,Kevin Nnochiri,21-Apr,546,37,Health
Fat Burning Secrets - What are the Fat Burning Foods and Exercises that Actually Work,Angelia Griffith,21-Apr,498,50,Health
100 WEIGHT LOSS TIPS,PLR,21-Mar,186,30,Health
